date,open,high,low,close,volume,0,1,2,3,4
2008-05-27/00:00:00,54.51,57.5,52.0,53.53,8574.0,,,,,
2008-05-28/00:00:00,55.0,73.0,54.5,64.24,138285.0,,,,,
2008-05-29/00:00:00,73.0,84.93,72.99,79.99,4990.0,,,,,
2008-06-01/00:00:00,83.0,84.0,65.0,72.85,74677.0,,,,,
2008-06-02/00:00:00,71.0,74.49,61.03,67.28,36846.0,,,,,
2008-06-03/00:00:00,65.26,72.0,63.11,68.56,41390.0,,,,,
2008-06-04/00:00:00,72.0,85.7,70.5,79.99,86613.0,,,,,
2008-06-05/00:00:00,81.01,85.0,77.0,80.45,45411.0,,,,,
2008-06-08/00:00:00,77.01,83.0,71.6,78.23,24924.0,,,,,
2008-06-09/00:00:00,75.0,80.0,71.52,75.97,32482.0,,,,,
2008-06-10/00:00:00,82.5,92.49,82.5,88.86,81449.0,,,,,
2008-06-11/00:00:00,83.32,87.0,80.1,84.84,27988.0,,,,,
2008-06-12/00:00:00,82.05,90.0,81.0,84.36,29288.0,,,,,
2008-06-18/00:00:00,79.99,79.99,74.99,76.71,7490.0,,,,,
2008-06-19/00:00:00,78.5,85.9,77.25,81.84,37105.0,,,,,
2008-06-22/00:00:00,77.0,99.0,77.0,94.0,40237.0,,,,,
2008-06-23/00:00:00,95.0,99.97,91.11,95.55,50949.0,,,,,
2008-06-24/00:00:00,93.99,95.0,85.02,88.82,34640.0,,,,,
2008-06-25/00:00:00,83.01,89.8,78.0,82.88,25712.0,,,,,
2008-06-26/00:00:00,82.99,84.8,75.98,80.3,26158.0,,,,,
2008-06-29/00:00:00,82.9,90.0,77.11,82.94,25740.0,,,,,
2008-06-30/00:00:00,76.5,77.05,70.02,74.44,14030.0,,,,,
2008-07-02/00:00:00,77.99,81.5,72.0,75.58,18861.0,,,,,
2008-07-03/00:00:00,73.0,73.25,65.01,69.25,15574.0,,,,,
2008-07-06/00:00:00,63.37,67.99,62.05,64.01,13589.0,,,,,
2008-07-07/00:00:00,65.69,65.69,52.0,56.92,14114.0,,,,,
2008-07-08/00:00:00,54.06,66.97,51.5,61.09,17591.0,,,,,
2008-07-09/00:00:00,66.36,66.49,57.57,60.49,7891.0,,,,,
2008-07-10/00:00:00,58.25,61.4,52.7,56.28,14865.0,,,,,
2008-07-13/00:00:00,54.17,66.11,52.53,59.21,19153.0,,,,,
2008-07-14/00:00:00,66.5,66.5,56.5,61.49,12612.0,,,,,
2008-07-15/00:00:00,63.99,66.0,61.0,63.88,13857.0,,,,,
2008-07-16/00:00:00,61.0,61.0,49.0,54.14,15486.0,,,,,
2008-07-17/00:00:00,56.44,59.9,52.66,54.81,13310.0,,,,,
2008-07-20/00:00:00,59.85,59.85,55.0,56.1,6445.0,,,,,
2008-07-21/00:00:00,54.11,56.89,52.75,53.75,12025.0,,,,,
2008-07-22/00:00:00,52.1,52.51,48.01,51.44,4987.0,,,,,
2008-07-24/00:00:00,56.69,56.7,51.0,51.88,8357.0,,,,,
2008-07-27/00:00:00,52.56,56.56,52.56,55.19,6420.0,,,,,
2008-07-28/00:00:00,54.0,54.8,53.0,53.62,6555.0,,,,,
2008-07-29/00:00:00,52.0,53.45,49.0,50.55,9880.0,,,,,
2008-07-30/00:00:00,51.5,52.0,47.0,50.06,8585.0,,,,,
2008-07-31/00:00:00,50.0,51.69,46.61,48.48,6906.0,,,,,
2008-08-03/00:00:00,47.64,47.75,45.46,47.08,4020.0,,,,,
2008-08-04/00:00:00,45.0,47.8,44.5,46.28,4230.0,,,,,
2008-08-05/00:00:00,45.0,45.29,43.03,43.63,2619.0,,,,,
2008-08-06/00:00:00,45.0,46.79,44.05,45.17,5670.0,,,,,
2008-08-07/00:00:00,43.03,49.01,43.03,47.42,11379.0,,,,,
2008-08-10/00:00:00,49.99,51.25,45.11,46.37,4125.0,,,,,
2008-08-11/00:00:00,46.11,46.3,42.11,44.5,7673.0,,,,,
2008-08-12/00:00:00,42.61,42.61,41.01,41.55,4770.0,,,,,
2008-08-13/00:00:00,39.0,39.01,34.0,36.94,5820.0,,,,,
2008-08-14/00:00:00,40.5,40.75,37.05,39.38,7515.0,,,,,
2008-08-17/00:00:00,41.5,43.24,40.1,42.11,9308.0,,,,,
2008-08-18/00:00:00,40.0,41.95,38.3,40.44,4513.0,,,,,
2008-08-19/00:00:00,38.65,39.1,37.0,38.15,7125.0,,,,,
2008-08-20/00:00:00,36.14,39.49,34.62,37.55,3600.0,,,,,
2008-08-21/00:00:00,37.5,37.61,35.0,36.8,2635.0,,,,,
2008-08-24/00:00:00,35.51,37.3,35.0,35.43,9290.0,,,,,
2008-08-25/00:00:00,35.12,35.12,35.01,35.08,700.0,,,,,
2008-08-26/00:00:00,36.0,40.01,33.52,38.45,14145.0,,,,,
2008-08-27/00:00:00,39.06,41.0,38.11,39.05,7680.0,,,,,
2008-08-28/00:00:00,37.7,37.7,37.0,37.4,4781.0,,,,,
2008-08-31/00:00:00,40.5,43.5,39.0,41.73,28269.0,,,,,
2008-09-01/00:00:00,42.5,47.0,42.12,44.05,11049.0,,,,,
2008-09-02/00:00:00,42.16,42.16,40.0,41.15,8560.0,,,,,
2008-09-03/00:00:00,44.5,48.0,43.0,44.78,23995.0,,,,,
2008-09-04/00:00:00,47.0,47.5,44.5,45.59,14532.0,,,,,
2008-09-24/00:00:00,44.5,44.5,34.5,36.38,8470.0,,,,,
2008-09-25/00:00:00,34.01,42.43,26.0,27.76,3793.0,,,,,
2008-09-28/00:00:00,29.0,34.5,29.0,32.59,6642.0,,,,,
2008-09-29/00:00:00,33.95,36.0,32.1,33.9,7215.0,,,,,
2008-10-07/00:00:00,20.12,20.12,20.12,20.12,1000.0,,,,,
2008-10-08/00:00:00,18.1,27.68,18.0,24.15,6202.0,,,,,
2008-10-09/00:00:00,28.0,28.0,23.02,24.55,8350.0,,,,,
2008-10-12/00:00:00,23.85,23.99,21.03,22.18,5393.0,,,,,
2008-10-13/00:00:00,23.56,23.56,21.5,22.51,3937.0,,,,,
2008-10-14/00:00:00,23.87,24.2,22.6,23.47,9150.0,,,,,
2008-10-15/00:00:00,22.3,22.75,22.0,22.09,3980.0,,,,,
2008-10-16/00:00:00,21.0,22.25,20.5,20.99,3080.0,,,,,
2008-10-19/00:00:00,20.56,22.74,20.56,21.39,3800.0,,,,,
2008-10-20/00:00:00,20.8,22.2,20.8,21.55,3137.0,,,,,
2008-10-21/00:00:00,22.7,23.0,19.35,20.81,5096.0,,,,,
2008-10-22/00:00:00,19.02,19.02,16.65,17.37,7749.0,,,,,
2008-10-23/00:00:00,14.05,16.75,13.9,14.19,10354.0,,,,,
2008-10-26/00:00:00,12.26,12.26,11.36,11.68,8540.0,,,,,
2008-10-27/00:00:00,11.36,12.9,9.41,11.58,9365.0,,,,,
2008-10-28/00:00:00,13.59,13.89,11.13,12.94,9277.0,,,,,
2008-10-29/00:00:00,14.46,15.52,13.7,14.74,18202.0,,,,,
2008-10-30/00:00:00,14.8,17.34,14.05,15.48,8469.0,,,,,
2008-12-23/00:00:00,22.0,37.89,10.02,37.8,73822.0,,,,,
2008-12-24/00:00:00,39.9,42.0,33.02,35.0,17840.0,,,,,
2008-12-25/00:00:00,25.51,32.0,15.5,25.0,69674.0,,,,,
2008-12-28/00:00:00,25.0,27.19,23.8,26.89,18145.0,,,,,
2008-12-30/00:00:00,28.97,28.99,24.57,24.57,15337.0,,,,,
2008-12-31/00:00:00,24.17,25.7,19.2,22.71,25535.0,,,,,
2009-01-04/00:00:00,21.05,26.99,21.04,26.89,21341.0,,,,,
2009-01-05/00:00:00,27.39,29.8,26.0,27.5,22882.0,,,,,
2009-01-06/00:00:00,27.7,27.7,25.25,26.01,10955.0,,,,,
2009-01-08/00:00:00,27.0,27.0,25.62,25.88,16585.0,,,,,
2009-01-11/00:00:00,26.0,27.0,25.04,25.05,15101.0,,,,,
2009-01-12/00:00:00,25.04,25.04,0.17,12.65,77921.0,,,,,
2009-01-13/00:00:00,14.06,16.94,8.02,9.0,34383.0,,,,,
2009-01-14/00:00:00,8.0,8.0,4.01,5.56,39718.0,,,,,
2009-01-15/00:00:00,5.51,13.85,5.03,9.9,58926.0,,,,,
2010-11-28/00:00:00,18.57,18.57,18.57,18.57,1351.0,,,,,
2010-11-29/00:00:00,22.28,26.73,22.28,26.61,7350.0,,,,,
2010-11-30/00:00:00,31.93,38.31,31.93,37.45,55986.0,,,,,
2010-12-01/00:00:00,42.5,42.5,36.01,38.55,30842.0,,,,,
2010-12-02/00:00:00,38.0,40.15,35.1,36.36,16380.0,,,,,
2010-12-05/00:00:00,35.53,37.0,35.05,35.11,5249.0,,,,,
2010-12-06/00:00:00,32.5,36.44,31.1,34.84,22431.0,,,,,
2010-12-08/00:00:00,36.83,39.75,35.25,38.48,21584.0,,,,,
2010-12-09/00:00:00,38.48,42.0,38.0,40.15,55581.0,,,,,
2010-12-12/00:00:00,40.0,41.0,38.62,39.66,14144.0,,,,,
2010-12-13/00:00:00,39.5,39.6,36.52,38.03,25652.0,,,,,
2010-12-14/00:00:00,38.49,38.98,37.2,37.94,6819.0,,,,,
2010-12-15/00:00:00,38.0,38.49,36.0,37.42,12287.0,,,,,
2010-12-16/00:00:00,36.95,37.85,35.0,36.25,9312.0,,,,,
